0   426.30270
1   410.63489
2   204.40906
3   191.00874
4   171.17359
5   155.55780
6   245.07475
7   220.26198
8   276.97455
9   210.91995

0   152.26508
1    50.94827
2    50.29572
3   126.34516
4   102.67447
5    67.41146
6   127.11702
7    94.69028
8   146.48462
9    71.38384
0    40.18728
1    20.21250
2    37.43112
3    92.66788
4    37.00525
5    34.92309
6    61.39520
7    34.78329
8    54.39676
9    46.13913
0    29.28015
1    15.47463
2    23.19574
3    20.82281
4    16.67040
5    23.00570
6    18.65873
7    19.04267
8    20.62895
9    22.82981
