r0,r1,r2,r3,r4,r5,E
1.947761776300,1.162500000000,1.200000000000,2.132441368900,2.091464797700,1.215000000000,-114.438967635300
2.017153024300,1.050000000000,1.200000000000,1.885508360500,2.091464797700,1.215000000000,-114.437743098390
1.894910441900,1.125000000000,1.162500000000,2.002927544900,2.107679946700,1.187500000000,-114.444096342508
1.731240999400,1.050000000000,1.050000000000,1.914706243800,1.982685764600,1.160000000000,-114.437446968059
1.775790609400,1.050000000000,1.087500000000,1.932877832200,2.179165426600,1.270000000000,-114.434158844997
2.133739167100,1.087500000000,1.200000000000,1.962810118400,1.960046032500,1.270000000000,-114.420409945218
1.824109545200,1.087500000000,1.125000000000,1.946729629400,2.049412679200,1.160000000000,-114.441412326594
1.910671825600,1.050000000000,1.050000000000,1.838563798500,1.838563798500,1.160000000000,-114.426929129220
2.116042952200,1.162500000000,1.162500000000,1.908636212800,2.083175160700,1.242500000000,-114.428118314201
1.931886981900,1.125000000000,1.125000000000,2.075397552300,2.075397552300,1.270000000000,-114.440561968244
1.953741106100,1.125000000000,1.162500000000,2.111107221100,1.842563761400,1.160000000000,-114.425516596670
1.644878415000,1.125000000000,1.200000000000,2.213387139000,2.282139669100,1.270000000000,-114.415492595889
2.215242632800,1.200000000000,1.200000000000,1.960046032500,2.139369065900,1.270000000000,-114.421850278624
1.832789997300,1.087500000000,1.125000000000,2.015976521500,1.978945426200,1.160000000000,-114.442798929028
1.962691334000,1.162500000000,1.200000000000,2.145710427500,1.962394118300,1.160000000000,-114.432505824449
1.981831539300,1.087500000000,1.200000000000,2.153456380300,1.937938245300,1.242500000000,-114.429827334668
1.934809879600,1.162500000000,1.200000000000,2.059142722100,2.165957831300,1.215000000000,-114.437270360966
2.237154905100,1.162500000000,1.200000000000,1.954002952700,1.894146385200,1.187500000000,-114.421271590311
2.027448214300,1.050000000000,1.162500000000,1.914706243800,1.842563761400,1.160000000000,-114.425033398714
1.936278249600,1.162500000000,1.200000000000,1.977034170400,2.231176455100,1.215000000000,-114.431325931255
1.954520019700,1.087500000000,1.200000000000,1.873627272800,2.282139669100,1.270000000000,-114.422532824835
1.900390837100,1.125000000000,1.162500000000,1.923086983400,2.171137980100,1.187500000000,-114.438341072018
1.854989057000,1.087500000000,1.087500000000,2.043693042000,2.043693042000,1.270000000000,-114.439904442015
1.813002728200,1.050000000000,1.162500000000,1.982685764600,2.011344388700,1.160000000000,-114.437024870009
1.789095831100,1.200000000000,1.200000000000,2.165957831300,2.231176455100,1.215000000000,-114.426870386882
2.130729179500,1.087500000000,1.162500000000,1.850919985600,2.000178287800,1.242500000000,-114.427527668922
1.962599961500,1.162500000000,1.200000000000,2.182160983900,2.139369065900,1.270000000000,-114.434358814506
1.997827805900,1.162500000000,1.162500000000,1.930941269300,2.247713460000,1.270000000000,-114.425121457252
1.761152730600,1.050000000000,1.200000000000,2.145053329300,2.139369065900,1.270000000000,-114.426144900546
1.630835634100,1.125000000000,1.200000000000,2.162152437500,2.231176455100,1.215000000000,-114.420475166542
2.027448214300,1.050000000000,1.162500000000,1.822533907300,2.083175160700,1.242500000000,-114.429965995585
2.180677199800,1.162500000000,1.200000000000,2.059142722100,1.915970076900,1.215000000000,-114.428767443235
1.978561142100,1.200000000000,1.200000000000,2.043917806600,2.116693605200,1.160000000000,-114.434533130820
1.845963179600,1.050000000000,1.200000000000,1.861980950300,2.205767570800,1.187500000000,-114.430257404692
1.769773708100,1.125000000000,1.125000000000,2.074202423400,2.074202423400,1.187500000000,-114.441799018374
1.721673587500,1.162500000000,1.162500000000,2.107679946700,2.171137980100,1.187500000000,-114.430235560047
1.900159937600,1.087500000000,1.125000000000,2.115917651300,1.992998471600,1.270000000000,-114.438128061311
1.844461719300,1.087500000000,1.162500000000,1.869161991300,2.145710427500,1.160000000000,-114.431644668514
1.813002728200,1.050000000000,1.162500000000,2.012187864000,2.182160983900,1.270000000000,-114.434379563324
1.916172943700,1.087500000000,1.125000000000,2.040864799100,1.923086983400,1.187500000000,-114.443896689145
1.950000000000,1.050000000000,1.200000000000,1.754589180900,2.180409429200,1.160000000000,-114.423035527589
2.054020478000,1.125000000000,1.200000000000,1.923086983400,2.067645097700,1.187500000000,-114.435296711470
2.046070929900,1.162500000000,1.200000000000,2.082987235700,1.962394118300,1.160000000000,-114.435542581986
1.889690514700,1.087500000000,1.125000000000,2.102174287100,1.835024083300,1.187500000000,-114.430254455004
1.740839567500,1.087500000000,1.125000000000,1.995042292800,2.162152437500,1.215000000000,-114.438667005139
1.855686327400,1.125000000000,1.125000000000,1.992998471600,2.213387139000,1.270000000000,-114.433332873300
1.883978503100,1.050000000000,1.125000000000,1.885508360500,2.099059683900,1.215000000000,-114.442810307795
2.131138291500,1.050000000000,1.200000000000,1.845445852200,2.054098123700,1.270000000000,-114.421229105303
1.828766165000,1.162500000000,1.162500000000,2.082987235700,2.082987235700,1.160000000000,-114.437289423829
2.198721709700,1.200000000000,1.200000000000,1.915970076900,2.091464797700,1.215000000000,-114.424564778432
1.649512116200,1.087500000000,1.125000000000,2.065819309900,2.162152437500,1.215000000000,-114.433470378120
1.813355602400,1.087500000000,1.125000000000,1.939237107300,2.187746933500,1.242500000000,-114.435201828401
1.926674147500,1.125000000000,1.200000000000,2.162152437500,2.008016406500,1.215000000000,-114.435981812681
1.538871339700,1.050000000000,1.125000000000,2.145053329300,2.213387139000,1.270000000000,-114.416662385974
1.979767946100,1.050000000000,1.125000000000,1.799750480900,2.026999013300,1.215000000000,-114.430865306423
