0.8000   -108.9340939
0.8156   -109.0084699
0.8311   -109.0741089
0.8467   -109.1326302
0.8622   -109.1839793
0.8778   -109.2294567
0.8933   -109.2690548
0.9089   -109.3038119
0.9244   -109.3337586
0.9400   -109.3597179
0.9556   -109.3818821
0.9711   -109.4005051
0.9867   -109.4161567
1.0022   -109.4289339
1.0178   -109.4392750
1.0333   -109.4472947
1.0489   -109.4533237
1.0644   -109.4574902
1.0800   -109.4600369
1.0956   -109.4611046
1.1111   -109.4608570
1.1267   -109.4594345
1.1422   -109.4569852
1.1578   -109.4535971
1.1733   -109.4494218
1.1889   -109.4445049
1.2044   -109.4389995
1.2200   -109.4329173
1.2356   -109.4263678
1.2511   -109.4194656
1.2667   -109.4121841
1.2822   -109.4046729
1.2978   -109.3968867
1.3133   -109.3889718
1.3289   -109.3808683
1.3444   -109.3727181
1.3600   -109.3644508
1.3756   -109.3561501
1.3911   -109.3478976
1.4067   -109.3396120
1.4222   -109.3314222
1.4378   -109.3232429
1.4533   -109.3151972
1.4689   -109.3071975
1.4844   -109.2993610
1.5000   -109.2915996
1.5156   -109.2839758
1.5311   -109.2765475
1.5467   -109.2692278
1.5622   -109.2621188
1.5778   -109.2551359
1.5933   -109.2483747
1.6089   -109.2417536
1.6244   -109.2353621
1.6400   -109.2291220
1.6556   -109.2230786
1.6711   -109.2172717
1.6867   -109.2116286
1.7022   -109.2062234
1.7178   -109.2009877
1.7333   -109.1959892
1.7489   -109.1911636
1.7644   -109.1865722
1.7800   -109.1821549
1.7956   -109.1779402
1.8111   -109.1739513
1.8267   -109.1701337
1.8422   -109.1665333
1.8578   -109.1630996
1.8733   -109.1598725
1.8889   -109.1568054
1.9044   -109.1539324
1.9200   -109.1512107
1.9356   -109.1486534
1.9511   -109.1462691
1.9667   -109.1440204
1.9822   -109.1419296
1.9978   -109.1399628
2.0133   -109.1381387
2.0289   -109.1364267
2.0444   -109.1348421
2.0600   -109.1333580
2.0756   -109.1319782
2.0911   -109.1307045
2.1067   -109.1295142
2.1222   -109.1284168
2.1378   -109.1273924
2.1533   -109.1264489
2.1689   -109.1255690
2.1844   -109.1247590
2.2000   -109.1240041
2.2156   -109.1233052
2.2311   -109.1226623
2.2467   -109.1220633
2.2622   -109.1215122
2.2778   -109.1209987
2.2933   -109.1205263
2.3089   -109.1200859
2.3244   -109.1196807
2.3400   -109.1193027
