r1,r2,a1,E
0.9,1.5,150.0,-75.96985249
0.9,1.5,160.0,-75.95392657
0.9,1.5,170.0,-75.94031477
0.9,1.5,180.0,-75.93448287
1.0,1.0,90.0,-76.10400505
1.0,1.0,100.0,-76.11144826
1.0,1.0,110.0,-76.11305122
1.0,1.0,120.0,-76.10955664
1.0,1.0,130.0,-76.10202268
1.0,1.0,140.0,-76.09182437
1.0,1.0,150.0,-76.08066486
1.0,1.0,160.0,-76.07051844
1.0,1.0,170.0,-76.06338358
1.0,1.0,180.0,-76.06080854
1.0,1.1,90.0,-76.09705295
1.0,1.1,100.0,-76.10279129
1.0,1.1,110.0,-76.10294015
1.0,1.1,120.0,-76.09820109
1.0,1.1,130.0,-76.08954892
1.0,1.1,140.0,-76.07825742
1.0,1.1,150.0,-76.06596339
1.0,1.1,160.0,-76.05469132
1.0,1.1,170.0,-76.04666477
1.0,1.1,180.0,-76.04374216
1.0,1.2,90.0,-76.08256618
1.0,1.2,100.0,-76.08668381
1.0,1.2,110.0,-76.08551628
1.0,1.2,120.0,-76.07969962
1.0,1.2,130.0,-76.07008968
1.0,1.2,140.0,-76.05781135
1.0,1.2,150.0,-76.04437659
1.0,1.2,160.0,-76.03182441
1.0,1.2,170.0,-76.02267320000001
1.0,1.2,180.0,-76.01928551
1.0,1.3,90.0,-76.06479300000001
1.0,1.3,100.0,-76.06746059999999
1.0,1.3,110.0,-76.06518525
1.0,1.3,120.0,-76.05851802
1.0,1.3,130.0,-76.04817161
1.0,1.3,140.0,-76.03508245
1.0,1.3,150.0,-76.02056636
1.0,1.3,160.0,-76.00658927
1.0,1.3,170.0,-75.9959975
1.0,1.3,180.0,-75.99196097
1.0,1.4,90.0,-76.04600315
1.0,1.4,100.0,-76.04743615
1.0,1.4,110.0,-76.04429216
1.0,1.4,120.0,-76.03702924
1.0,1.4,130.0,-76.02620968
1.0,1.4,140.0,-76.01255967
1.0,1.4,150.0,-75.99712743
1.0,1.4,160.0,-75.98164971
1.0,1.4,170.0,-75.96920694
1.0,1.4,180.0,-75.96421776
1.0,1.5,90.0,-76.02740814
1.0,1.5,100.0,-76.0278331
1.0,1.5,110.0,-76.02405987
1.0,1.5,120.0,-76.01645748
1.0,1.5,130.0,-76.00544794
1.0,1.5,140.0,-75.99155051
1.0,1.5,150.0,-75.97550153
1.0,1.5,160.0,-75.95861238
1.0,1.5,170.0,-75.94384016
1.0,1.5,180.0,-75.93735665
1.1,1.1,90.0,-76.09018506
1.1,1.1,100.0,-76.09444913
1.1,1.1,110.0,-76.0933537
1.1,1.1,120.0,-76.08755577
1.1,1.1,130.0,-76.0779403
1.1,1.1,140.0,-76.06566781
1.1,1.1,150.0,-76.05228725
1.1,1.1,160.0,-76.03985522
1.1,1.1,170.0,-76.03084928
1.1,1.1,180.0,-76.02753034
1.1,1.2,90.0,-76.07582139
1.1,1.2,100.0,-76.07868149
1.1,1.2,110.0,-76.07646463
1.1,1.2,120.0,-76.06976201
1.1,1.2,130.0,-76.05933872
1.1,1.2,140.0,-76.0461999
1.1,1.2,150.0,-76.03174727
1.1,1.2,160.0,-76.01801664
1.1,1.2,170.0,-76.00778915
1.1,1.2,180.0,-76.00394354
1.1,1.3,90.0,-76.0582112
1.1,1.3,100.0,-76.05981683
1.1,1.3,110.0,-76.05666412
1.1,1.3,120.0,-76.04926367
1.1,1.3,130.0,-76.03824282
1.1,1.3,140.0,-76.02441958
1.1,1.3,150.0,-76.00898152
1.1,1.3,160.0,-75.99384023
1.1,1.3,170.0,-75.98207459
1.1,1.3,180.0,-75.97750151
1.1,1.4,90.0,-76.03961301
1.1,1.4,100.0,-76.04015526
1.1,1.4,110.0,-76.03627966
1.1,1.4,120.0,-76.02841238
1.1,1.4,130.0,-76.01704091
1.1,1.4,140.0,-76.00278228
1.1,1.4,150.0,-75.98654969
1.1,1.4,160.0,-75.96997145
1.1,1.4,170.0,-75.95627466
1.1,1.4,180.0,-75.95064781
1.1,1.5,90.0,-76.02122446
1.1,1.5,100.0,-76.02090541
1.1,1.5,110.0,-76.01652038
1.1,1.5,120.0,-76.00841774
1.1,1.5,130.0,-75.99695799999999
1.1,1.5,140.0,-75.98256609
1.1,1.5,150.0,-75.96585096
1.1,1.5,160.0,-75.94798025
1.1,1.5,170.0,-75.93192582
1.1,1.5,180.0,-75.92467836
1.2,1.2,90.0,-76.06160909999998
1.2,1.2,100.0,-76.06327208
1.2,1.2,110.0,-76.06011426
1.2,1.2,120.0,-76.05266563
1.2,1.2,130.0,-76.04157714
1.2,1.2,140.0,-76.02769972
1.2,1.2,150.0,-76.01226902
1.2,1.2,160.0,-75.99724991
